,Dates,Gold,General,Food & Beverages,Housing,Fuel & Light,Transport & Communication,Miscellaneous
0,2025-09-01,359.07676197297593,188.33652007648186,191.2878787878788,185.84247258225327,170.9952606635071,168.21705426356587,187.5842155919153
1,2025-08-01,326.6574356188477,188.33652007648186,192.04545454545456,186.14157527417746,171.3744075829384,168.31395348837208,186.3330125120308
2,2025-07-01,319.7267775855917,187.47609942638624,190.9090909090909,185.1445663010967,171.27962085308056,168.1201550387597,185.65928777670837
3,2025-06-01,318.39844378426216,185.65965583173997,187.59469696969697,184.24725822532403,171.3744075829384,167.82945736434107,184.98556304138594
4,2025-05-01,309.925364160577,184.51242829827916,185.7007575757576,185.2442671984048,171.65876777251182,167.4418604651163,183.92685274302212
5,2025-04-01,305.01517192389696,184.1300191204589,185.60606060606062,184.8454636091725,170.1421800947867,167.0542635658915,183.15688161693936
6,2025-03-01,284.69714638080563,183.5564053537285,185.79545454545453,183.05084745762713,169.0047393364929,166.95736434108528,182.09817131857554
7,2025-02-01,278.4893213312237,184.03441682600382,187.12121212121212,183.15054835493518,169.0047393364929,166.56976744186048,181.42444658325311
8,2025-01-01,259.1038915550657,184.89483747609944,190.24621212121212,182.05383848454636,168.90995260663507,166.08527131782947,180.1732435033686
9,2024-12-01,249.65457292369413,186.80688336520078,194.98106060606062,181.15653040877368,168.5308056872038,165.69767441860466,179.4995187680462
10,2024-11-01,249.73940201551827,187.85850860420652,197.34848484848487,182.45264207377866,167.39336492890996,165.60077519379846,179.21077959576513
11,2024-10-01,251.35194112487503,188.1453154875717,198.29545454545456,182.15353938185444,167.58293838862562,165.40697674418604,178.8257940327238
12,2024-09-01,238.78494858649307,185.65965583173997,193.93939393939397,180.45862412761716,167.6777251184834,165.21317829457365,178.055822906641
13,2024-08-01,230.80036526640237,184.51242829827916,191.95075757575756,180.5583250249252,167.48815165876775,165.11627906976744,177.38209817131857
14,2024-07-01,233.25067766616132,184.51242829827916,192.51893939393943,179.4616151545364,166.82464454976304,164.63178294573643,176.8046198267565
15,2024-06-01,235.95528075021815,181.8355640535373,187.87878787878788,178.5643070787637,167.10900473933648,161.53100775193795,175.36092396535128
16,2024-05-01,236.35157579294233,179.44550669216062,182.95454545454547,179.56131605184447,166.91943127962085,161.24031007751938,174.87969201154954
17,2024-04-01,233.78950131044402,178.48948374760994,181.72348484848487,179.3619142572283,165.30805687203792,161.14341085271317,174.39846005774783
18,2024-03-01,213.72409542666676,177.62906309751435,180.58712121212122,177.66699900299102,166.6350710900474,161.53100775193795,173.43599615014435
19,2024-02-01,203.20099579982957,177.62906309751435,180.20833333333334,177.96610169491527,171.27962085308056,161.8217054263566,173.051010587103
20,2024-01-01,204.20066192248476,177.34225621414913,180.0189393939394,177.06879361914255,171.46919431279622,161.62790697674419,172.66602502406158
21,2023-12-01,203.71105160223445,177.53346080305928,181.06060606060606,176.37088733798606,170.80568720379145,161.43410852713177,172.2810394610202
22,2023-11-01,199.1669121325916,178.1070745697897,182.38636363636365,177.36789631106683,170.521327014218,161.24031007751938,171.89605389797882
23,2023-10-01,192.57088504363833,177.15105162523903,180.77651515151516,177.16849451645064,170.4265402843602,160.9496124031008,171.41482194417708
24,2023-09-01,192.4740638901658,176.00382409177823,178.97727272727272,175.6729810568295,169.9526066350711,160.85271317829458,171.12608277189605
25,2023-08-01,192.4572225795449,178.0114722753346,182.29166666666669,175.87238285144565,176.7772511848341,160.75581395348837,170.74109720885465
26,2023-07-01,193.05938134723277,178.1070745697897,183.23863636363637,174.77567298105686,176.49289099526064,160.46511627906978,170.25986525505292
27,2023-06-01,193.49853326601178,173.04015296367115,173.3901515151515,173.87836490528417,173.3649289099526,159.98062015503876,169.5861405197305
28,2023-05-01,198.50138547630274,171.22370936902487,169.60227272727272,175.07477567298108,173.2701421800948,159.68992248062017,169.10490856592875
29,2023-04-01,197.0670890318835,170.2676864244742,168.4659090909091,174.67597208374875,172.22748815165875,159.39922480620154,168.43118383060633
30,2023-03-01,188.44574689738172,169.4072657743786,167.61363636363637,172.9810568295115,172.41706161137444,159.10852713178295,167.56496631376322
31,2023-02-01,185.60172790536365,169.02485659655835,167.2348484848485,172.9810568295115,172.60663507109004,158.91472868217053,166.98748796920114
32,2023-01-01,184.29144772689816,168.73804971319313,167.32954545454547,171.58524426719842,172.51184834123222,158.52713178294573,166.31376323387875
33,2022-12-01,176.7381526786039,167.97323135755258,166.5719696969697,170.18943170488535,172.51184834123222,158.33333333333331,165.54379210779595
34,2022-11-01,169.96493141097747,168.73804971319313,168.844696969697,171.2861415752742,171.84834123222748,157.9457364341085,164.67757459095282
35,2022-10-01,165.48389770836945,168.92925430210323,170.07575757575756,170.68793619142573,171.09004739336493,157.8488372093023,164.10009624639073
36,2022-09-01,163.5427236855341,167.59082217973233,168.37121212121212,168.99302093718845,170.1421800947867,157.26744186046514,163.33012512030797
37,2022-08-01,169.19668586597922,166.63479923518167,166.9507575757576,168.49451645064806,169.478672985782,156.8798449612403,162.75264677574592
38,2022-07-01,166.3958514019736,165.77437858508605,165.71969696969697,167.29810568295116,170.23696682464455,156.58914728682169,162.0789220404235
39,2022-06-01,166.46105414153715,165.0095602294455,165.62500000000003,166.30109670987042,166.82464454976304,156.10465116279067,161.21270452358036
40,2022-05-01,166.70744841365666,164.1491395793499,164.1098484848485,166.9990029910269,165.49763033175356,157.9457364341085,161.21270452358036
41,2022-04-01,170.45283794104822,162.61950286806882,161.74242424242428,166.50049850448653,163.2227488151659,157.5581395348837,160.53897978825796
42,2022-03-01,169.56083825166226,160.32504780114724,159.469696969697,164.80558325024927,158.4834123222749,153.00387596899225,158.42155919153032
43,2022-02-01,161.3816951991452,158.79541108986618,157.38636363636363,165.0049850448654,157.06161137440756,152.03488372093022,157.3628488931665
44,2022-01-01,157.1426979976206,158.41300191204587,157.5757575757576,164.00797607178467,155.63981042654027,151.64728682170542,156.5928777670837
45,2021-12-01,156.91196548907462,158.8910133843212,159.28030303030303,162.91126620139582,155.54502369668245,150.8720930232558,155.91915303176128
46,2021-11-01,157.9048164510116,159.36902485659655,160.70075757575756,163.70887337986042,155.35545023696685,150.0,155.3416746871992
47,2021-10-01,154.71328979275688,158.22179732313577,158.8068181818182,163.11066799601198,155.63981042654027,150.8720930232558,154.95668912415783
48,2021-09-01,152.63384664381186,156.0229445506692,155.3030303030303,161.61515453639083,154.12322274881515,149.2248062015504,153.99422521655438
49,2021-08-01,154.35339688252267,155.73613766730404,155.20833333333334,161.91425722831508,152.98578199052133,149.12790697674419,153.609239653513
50,2021-07-01,156.49810830142277,155.35372848948376,155.3030303030303,161.0169491525424,152.32227488151656,148.35271317829458,153.0317613089509
51,2021-06-01,156.91534030423796,154.20650095602298,153.97727272727272,160.01994017946163,151.46919431279622,146.02713178294573,151.68431183830603
52,2021-05-01,156.81504604001483,153.34608030592736,152.1780303030303,161.11665004985045,151.09004739336493,144.28294573643413,150.9143407122233
53,2021-04-01,152.41454918858634,150.86042065009562,149.62121212121212,160.9172482552343,147.48815165876778,142.05426356589146,148.60442733397497
54,2021-03-01,146.29004603182355,149.90439770554497,148.3901515151515,159.42173479561316,147.39336492890996,141.66666666666666,148.02694898941292
55,2021-02-01,154.34700766934938,149.7131931166348,148.57954545454547,159.3220338983051,144.45497630331755,140.60077519379843,147.6419634263715
56,2021-01-01,162.55468920737388,149.42638623326962,149.24242424242425,158.42472582253242,142.36966824644549,138.7596899224806,146.96823869104907
57,2020-12-01,162.00377520585553,150.38240917782028,152.46212121212122,157.2283150548355,140.18957345971566,137.5,146.19826756496633
58,2020-11-01,165.2304589191614,151.91204588910134,156.62878787878788,157.92622133599204,137.0616113744076,136.33720930232556,145.52454282964388
59,2020-10-01,166.11249798903611,151.43403441682602,155.9659090909091,157.52741774675974,136.11374407582937,136.04651162790697,145.04331087584214
60,2020-09-01,166.3935906034661,149.52198852772466,152.8409090909091,156.0319042871386,135.63981042654027,136.24031007751938,144.7545717035611
61,2020-08-01,173.38420894496397,147.8967495219885,149.62121212121212,155.83250249252245,135.45023696682466,135.27131782945736,144.36958614051971
62,2020-07-01,163.42765231802292,147.13193116634798,148.67424242424244,155.03489531405782,135.54502369668248,134.20542635658913,143.40712223291627
63,2020-06-01,155.02763908088386,145.1242829827916,145.83333333333334,154.23728813559322,134.50236966824644,130.81395348837208,141.48219441770934
64,2020-05-01,151.8446641387226,144.263862332696,144.60227272727272,155.1345962113659,135.07109004739337,128.39147286821705,140.71222329162654
65,2020-04-01,149.09618845754238,144.74187380497133,145.83333333333334,155.1345962113659,136.58767772511848,128.19767441860466,140.03849855630412
66,2020-03-01,138.54871152505933,142.06500956022944,141.00378787878788,154.03788634097708,141.13744075829385,125.87209302325581,138.40230991337825
67,2020-02-01,134.9769120048073,142.54302103250478,142.5189393939394,154.33698903290133,139.5260663507109,126.25968992248062,138.20981713185753
68,2020-01-01,131.00780172076256,143.5946462715105,145.3598484848485,153.43968095712864,137.0616113744076,126.84108527131784,138.01732435033688
69,2019-12-01,124.80777478777163,143.78585086042065,146.78030303030303,152.3429710867398,136.2085308056872,125.7751937984496,137.15110683349374
70,2019-11-01,124.90813458238628,142.06500956022944,143.84469696969697,153.04087736789631,134.88151658767774,122.67441860465115,135.99615014436958
71,2019-10-01,125.20744464565917,140.7265774378585,141.66666666666669,152.54237288135593,133.27014218009478,122.38372093023256,135.70741097208852
72,2019-09-01,124.26770606605004,139.3881453154876,139.20454545454547,151.74476570289133,131.9431279620853,122.18992248062015,135.4186717998075
73,2019-08-01,122.39815676114729,138.62332695984705,138.1628787878788,151.1465603190429,131.27962085308056,121.89922480620154,134.93743984600576
74,2019-07-01,113.1128606997532,137.8585086042065,137.02651515151513,150.1495513459621,132.03791469194314,121.70542635658914,134.26371511068334
75,2019-06-01,108.52245677369639,136.61567877629065,135.13257575757575,148.95314057826522,133.83886255924168,120.73643410852712,133.3974975938402
76,2019-05-01,103.98870387110959,135.75525812619503,133.4280303030303,149.65104685942174,132.98578199052133,121.02713178294573,133.01251203079883
77,2019-04-01,103.73218515350003,134.9904397705545,132.00757575757578,149.2522432701894,132.70142180094786,121.02713178294573,132.82001924927815
78,2019-03-01,104.96762962484834,134.22562141491397,130.77651515151516,148.55433698903292,132.41706161137438,120.73643410852712,132.5312800769971
79,2019-02-01,108.8345124981201,133.74760994263863,130.20833333333334,148.05583250249254,131.18483412322274,120.05813953488371,132.24254090471607
80,2019-01-01,105.6022259363392,133.46080305927342,130.11363636363637,147.2582253240279,132.22748815165878,119.4767441860465,131.76130895091433
81,2018-12-01,102.39287501159069,133.93881453154876,130.87121212121212,146.061814556331,135.260663507109,119.76744186046511,131.665062560154
82,2018-11-01,101.60608436579194,134.60803059273425,132.29166666666669,146.46061814556333,137.53554502369667,121.60852713178294,131.18383060635225
83,2018-10-01,103.17527512115751,134.51242829827916,132.48106060606062,145.86241276171486,136.01895734597156,122.96511627906976,131.18383060635225
84,2018-09-01,100.05763397934287,134.03441682600382,132.95454545454547,144.8654037886341,134.88151658767774,122.09302325581395,129.64388835418669
